#SeqID	Length	Prediction
NODE_87_length_1406_cov_266.989	1406	Plasmid
NODE_88_length_1363_cov_164.934	1363	Plasmid
NODE_89_length_1343_cov_173.903	1343	Plasmid
NODE_8_length_171396_cov_58.9884	171396	Chromosome
NODE_90_length_1337_cov_279.691	1337	Plasmid
NODE_91_length_1275_cov_130.18	1275	Plasmid
NODE_92_length_1193_cov_76.122	1193	Plasmid
NODE_93_length_1188_cov_127.74	1188	Plasmid
NODE_94_length_1177_cov_154.689	1177	Plasmid
NODE_95_length_1136_cov_112.717	1136	Chromosome
NODE_96_length_1120_cov_126.491	1120	Chromosome
NODE_97_length_1120_cov_20.3646	1120	Chromosome
NODE_99_length_1044_cov_60.5431	1044	Plasmid
NODE_9_length_168703_cov_59.0395	168703	Chromosome
